"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.789035430155772,18227,18225,0.789019194747501,0.0104754133752603,0.0104754133734196,9112.92215111771,9112.9221543202,75.322719345415,0,"natural"
"2","('A', 'E')","('en', 'en')",0.738823899112141,18363,18360,0.738808809062936,0.0104366840112912,0.010436684009707,9180.68170664382,9180.68170943098,70.7910961077673,0,"natural"
"3","('A', 'i')","('en', 'en')",3.06556730143824,18768,18771,3.0655060501185,0.0103232353034044,0.0103232352775894,9383.57537423325,9383.57542116355,296.978628458341,0,"natural"
"4","('e', 'E')","('en', 'en')",0.807857296956755,18768,18771,0.807841155629317,0.0103226341370215,0.0103226341352286,9384.66836159547,9384.66836485535,78.2615414448004,0,"natural"
"5","('i', 'I')","('en', 'en')",0.782763009301915,19182,19182,0.782747705718085,0.0102110355580424,0.0102110355564483,9590.92341087052,9590.92341386521,76.6588393759178,0,"natural"
"6","('A', '{')","('en', 'en')",1.39122190936705,24,24,1.36841499282005,0.291570666345536,0.291476961509442,11.7628441046156,11.7704084249514,4.81933406325342,1.61324519685445e-05,"synthetic"
"7","('A', 'E')","('en', 'en')",1.58191543902104,24,24,1.55598239903709,0.292413413787201,0.292292603981203,11.6951398111792,11.7048094335947,5.47991582732413,3.48424449569028e-06,"synthetic"
"8","('A', 'i')","('en', 'en')",4.84692748269946,24,24,4.76746965511422,0.322065687882517,0.32103452419109,9.64075581134322,9.70278753799933,16.7902493212748,8.19064735266029e-20,"synthetic"
"9","('i', 'I')","('en', 'en')",0.882500485635561,24,24,0.868033264559569,0.289843718526723,0.289805792473211,11.9034325224177,11.9065482624791,3.05707135765,0.00374501089232902,"synthetic"
