"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",1.07202986626144,18227,18225,1.07200780788245,0.0104754512129692,0.0104754512095714,9112.85631882736,9112.85632473892,102.338476615989,0,"natural"
"2","('A', 'E')","('en', 'en')",0.951083937948775,18363,18360,0.951064512611508,0.0104367094967169,0.0104367094940916,9180.63687004168,9180.6368746603,91.1299470804111,0,"natural"
"3","('A', 'i')","('en', 'en')",6.09684991860488,18768,18771,6.09672810098778,0.010325144343791,0.0103251442417018,9380.10579207196,9380.10597756232,590.624073302101,0,"natural"
"4","('e', 'E')","('en', 'en')",1.27926070366041,18768,18771,1.2792351434953,0.0103227017737147,0.0103227017692191,9384.54538102901,9384.5453892031,123.927576758622,0,"natural"
"5","('i', 'I')","('en', 'en')",0.749222357519865,19182,19182,0.749207709680073,0.0102110321389674,0.0102110321375069,9590.92983374571,9590.92983648926,73.374080889672,0,"natural"
"6","('A', '{')","('en', 'en')",0.542725419661361,24,24,0.533828281634125,0.289117657472017,0.289103278106103,11.9632937633395,11.9644838491645,1.88005600282524,0.0665809781696598,"synthetic"
"7","('A', 'E')","('en', 'en')",1.76006524689436,24,24,1.73121171825674,0.293295791977021,0.293146682468373,11.6248761834397,11.636705213223,6.09704486451457,2.26334953277862e-07,"synthetic"
"8","('A', 'i')","('en', 'en')",5.40011105158847,24,24,5.31158464090669,0.329616253319949,0.328365231368144,9.20413039986286,9.27439669154317,18.7065334157309,1.26755803305711e-17,"synthetic"
"9","('i', 'I')","('en', 'en')",0.426083112971364,24,24,0.419098143906259,0.288947964274362,0.288939096412998,11.9773494822868,11.9780846898509,1.47599519982702,0.146795888427961,"synthetic"
