"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0793541416030574,25704,25704,0.0793529838414023,0.00882093567054003,0.00882093567053215,12851.9992128651,12851.999212888,8.99611413085675,2.41598283126958e-19,"natural"
"2","('E', 'I')","('de', 'de')",0.195275167799931,25866,25866,0.195272336617181,0.00879327066287178,0.00879327066282479,12932.9952334529,12932.9952335911,22.2073459662138,9.42563755049085e-109,"natural"
"3","('i', 'I')","('de', 'de')",0.318973785970012,25866,25866,0.318969161351887,0.00879327336601601,0.00879327336589064,12932.987281978,12932.9872823468,36.274767032573,1.56172760675925e-284,"natural"
"4","('a:', 'a')","('jp', 'jp')",-1.29831479932228,8,12,-1.24345642751993,0.465953442987575,0.4651734885096,4.60590472035143,4.62136307203482,-2.93521627659545,0.00893297593645812,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",0.941105110041313,168,168,0.9389902670974,0.109180822843326,0.109180500266083,83.8894358671835,83.8899315759018,8.62537080734812,2.74540144884064e-16,"synthetic"
"6","('E', 'I')","('nl', 'nl')",1.86582430672247,8,8,1.76405207181034,0.526495639995275,0.523747611212171,3.60753407458601,3.64548981853687,3.73164861344494,0.00682592510765331,"synthetic"
"7","('u:', 'y:')","('de', 'de')",1.61817612183714,168,168,1.61453977100155,0.109321313675547,0.109320361204438,83.6739586970759,83.675416748888,14.8308291321776,5.28445003800581e-38,"synthetic"
