"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0833080508992263,25704,25704,0.0833068354507954,0.00882093569812911,0.00882093569812042,12851.9991324711,12851.9991324965,9.44435562868955,3.7201059956131e-21,"natural"
"2","('E', 'I')","('de', 'de')",0.213488868645931,25866,25866,0.21348577339317,0.00879327097924658,0.00879327097919042,12932.9943028154,12932.9943029806,24.2786690154745,1.75449727392684e-129,"natural"
"3","('i', 'I')","('de', 'de')",0.337958544903683,25866,25866,0.337953645036417,0.00879327389599249,0.00879327389585175,12932.9857230185,12932.9857234325,38.4337773894718,1.17421617653214e-318,"natural"
"4","('a:', 'a')","('jp', 'jp')",-1.11883409958117,8,12,-1.07155941931717,0.463522460701663,0.462940328617024,4.65434351331241,4.6660562375731,-2.57323634125377,0.0191936745319821,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",0.99432903567099,168,168,0.992094588399819,0.109189179715592,0.109188819647581,83.8765952821726,83.8771484766985,9.11317614330951,8.33748583534579e-18,"synthetic"
"6","('E', 'I')","('nl', 'nl')",1.99399354923439,8,8,1.8852302647307,0.530153355425257,0.527035437843253,3.55792649111856,3.60014807454585,3.98798709846878,0.00489952433227941,"synthetic"
"7","('u:', 'y:')","('de', 'de')",1.58422153562648,168,168,1.58066148723181,0.109312503028451,0.109311590036425,83.6874475736634,83.6888455277388,14.519630209175,9.01565943508877e-37,"synthetic"
