"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.786095458602164,18227,18225,0.78607928368755,0.0104754130425656,0.0104754130407386,9112.92272996286,9112.92273314153,75.0420391658997,0,"natural"
"2","('A', 'E')","('en', 'en')",0.737211486683087,18363,18360,0.73719642956647,0.0104366838421949,0.0104366838406176,9180.68200413663,9180.68200691163,70.6365822341937,0,"natural"
"3","('A', 'i')","('en', 'en')",3.0981328644373,18768,18771,3.09807096244396,0.0103232491014819,0.0103232490751157,9383.55029003483,9383.55033796724,300.13367106104,0,"natural"
"4","('e', 'E')","('en', 'en')",0.788229293881452,18768,18771,0.788213544729744,0.0103226319833638,0.010322631981657,9384.67227752806,9384.67228063146,76.3600934551957,0,"natural"
"5","('i', 'I')","('en', 'en')",0.758265353671208,19182,19182,0.758250529034291,0.0102110330460539,0.0102110330445579,9590.92812974524,9590.92813255543,74.2596945188355,0,"natural"
"6","('A', '{')","('en', 'en')",0.946271984144933,24,24,0.930759328667148,0.290018304421094,0.289974724904167,11.8891055239483,11.8926793554892,3.27798230863607,0.00200428732952341,"synthetic"
"7","('A', 'E')","('en', 'en')",1.22182813112104,24,24,1.2017981617584,0.290911021115729,0.290838584631444,11.8162494458334,11.8221361073805,4.23253680243715,0.000154858841350723,"synthetic"
"8","('A', 'i')","('en', 'en')",4.54344401697697,24,24,4.46896132817407,0.318201984702998,0.317285053215049,9.87629905128624,9.93346515435104,15.7389517574979,1.08030812641308e-18,"synthetic"
"9","('i', 'I')","('en', 'en')",0.754330817296339,24,24,0.741964738324268,0.289529393930195,0.289501654657459,11.9292922291446,11.9315784042929,2.61307860254443,0.0121716076974843,"synthetic"
