"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0424593729130354,25704,25704,0.0424587534389555,0.00882093547775016,0.00882093547774791,12851.9997746502,12851.9997746568,4.8134773678348,1.48747011004634e-06,"natural"
"2","('E', 'I')","('de', 'de')",0.147520623993872,25866,25866,0.147518485176886,0.0087932699672371,0.00879326996721029,12932.9972797088,12932.9972797876,16.7765393372501,5.32114518940335e-63,"natural"
"3","('i', 'I')","('de', 'de')",0.249194863871058,25866,25866,0.249191250937536,0.0087932716812777,0.00879327168120118,12932.9922377446,12932.9922379697,28.3392743549347,2.50192631869658e-175,"natural"
"4","('a:', 'a')","('jp', 'jp')",-0.558438316296285,8,12,-0.534842331100667,0.458211271737652,0.458064635172272,4.76286709812606,4.76591698326137,-1.24304020150973,0.230982435234442,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",0.481982975831129,168,168,0.480899868020273,0.109127802741346,0.109127718090493,83.9709715863773,83.9711018597352,4.41744694085244,1.35191555155365e-05,"synthetic"
"6","('E', 'I')","('nl', 'nl')",4.05978371197873,8,8,3.83834096405261,0.615438384076037,0.604235450256176,2.64016361588038,2.73897202707186,8.11956742395745,1.24075075700011e-06,"synthetic"
"7","('u:', 'y:')","('de', 'de')",0.666009653062766,168,168,0.664513002157007,0.109144949095955,0.109144787488678,83.9445904670737,83.9448390555217,6.10407929746281,2.87018765106417e-09,"synthetic"
