"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0860085680940188,25704,25704,0.0860073132455618,0.0088209357177433,0.00882093571773404,12851.9990753158,12851.9990753428,9.75050424810527,1.91980367981201e-22,"natural"
"2","('a:', 'a')","('jp', 'jp')",-1.37921858018219,8,12,-1.32094173876604,0.46716255586653,0.46628455567442,4.58209351497342,4.59936565752025,-3.31156925791883,0.0052578381086393,"synthetic"
"3","('a', 'a~')","('fr', 'fr')",0.90593495437932,168,168,0.903899145493075,0.109175552533211,0.109175253601207,83.8975353730456,83.897994812193,8.3030310062992,5.49534405113942e-15,"synthetic"
"4","('u:', 'y:')","('de', 'de')",1.67501687806109,168,168,1.67125279518905,0.109336479412231,0.109335458993317,83.6507479768519,83.6523093953444,15.3517832680872,1.818906616676e-39,"synthetic"
