"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",1.30116898940837,18227,18225,1.30114221620026,0.0104754902806028,0.0104754902755974,9112.78834738947,9112.78835609809,124.21171143214,0,"natural"
"2","('A', 'E')","('en', 'en')",1.19609155531792,18363,18360,1.19606712584231,0.0104367468738901,0.0104367468697381,9180.5711128389,9180.57112014352,114.604712476586,0,"natural"
"3","('A', 'i')","('en', 'en')",3.18191217064906,18768,18771,3.18184859471007,0.010323285268854,0.0103232852410426,9383.48454008189,9383.48459064101,308.249855705115,0,"natural"
"4","('e', 'E')","('en', 'en')",0.973759008922311,18768,18771,0.973739552809123,0.0103226544563189,0.0103226544537141,9384.63141573408,9384.6314204703,94.3335029555595,0,"natural"
"5","('i', 'I')","('en', 'en')",0.781653236140626,19182,19182,0.781637954253666,0.0102110354425193,0.0102110354409296,9590.92362788545,9590.92363087166,76.5501552384407,0,"natural"
"6","('A', '{')","('en', 'en')",0.331310227566983,24,24,0.325878912360967,0.288840123121306,0.288834759483763,11.9862948621029,11.9867400352405,1.14769229442644,0.258913476477632,"synthetic"
"7","('A', 'E')","('en', 'en')",0.956170709310908,24,24,0.940495779650074,0.290046485775796,0.290001993993893,11.8867953092809,11.8904429067754,3.31227249847133,0.00209555894340951,"synthetic"
"8","('A', 'i')","('en', 'en')",3.10832672843653,24,24,3.05737055256052,0.302853465224006,0.302402869357322,10.9027211748505,10.9352366150069,10.7675596403528,9.05998799644797e-14,"synthetic"
"9","('i', 'I')","('en', 'en')",0.768130512744207,24,24,0.755538209256597,0.289560887146575,0.289532126746059,11.9266974632931,11.9290670354463,2.6608821498338,0.0115410470113049,"synthetic"
