"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",1.0597391410491,18227,18225,1.05971733556742,0.0104754493306111,0.0104754493272909,9112.85959384866,9112.85959962546,101.164764590105,0,"natural"
"2","('A', 'E')","('en', 'en')",1.05043404647833,18363,18360,1.05041259197277,0.0104367236249435,0.0104367236217411,9180.61201434277,9180.61201997667,100.648507125801,0,"natural"
"3","('A', 'i')","('en', 'en')",3.85414418554286,18768,18771,3.85406717812642,0.0103236103998225,0.0103236103590198,9382.89350395077,9382.8935781201,373.370232375911,0,"natural"
"4","('e', 'E')","('en', 'en')",0.871597856251345,18768,18771,0.871580441360812,0.0103226414961806,0.0103226414940937,9384.65498067092,9384.6549844655,84.4364625878949,0,"natural"
"5","('i', 'I')","('en', 'en')",0.896872586394034,19182,19182,0.896855051885316,0.0102110483112474,0.0102110483091546,9590.89945349955,9590.89945743099,87.8340068756695,0,"natural"
"6","('A', '{')","('en', 'en')",0.427075016439762,24,24,0.420073786662061,0.288949235421644,0.288940326262766,11.9772441008572,11.9779827226833,1.47943125423396,0.147588905524721,"synthetic"
"7","('A', 'E')","('en', 'en')",1.55979770364371,24,24,1.53422724948561,0.29231025552124,0.29219275953832,11.7033958555878,11.7128100414725,5.40329774448032,7.92766769541309e-06,"synthetic"
"8","('A', 'i')","('en', 'en')",8.37531318633702,24,24,8.23801297016756,0.379768148121268,0.377152224020881,6.93366614096202,7.03018338521743,29.0129359360746,3.64671330355491e-31,"synthetic"
"9","('i', 'I')","('en', 'en')",0.557119114876289,24,24,0.547986014632415,0.289141421971057,0.289126271002023,11.9613273207741,11.9625809629807,1.92991722566707,0.0602753005966416,"synthetic"
