"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",1.26297342598828,18227,18225,1.26294743870251,0.0104754832444036,0.0104754832396877,9112.80058919532,9112.80059740019,120.565410878272,0,"natural"
"2","('A', 'E')","('en', 'en')",1.13148689478057,18363,18360,1.13146378481765,0.0104367361900607,0.010436736186345,9180.58990869697,9180.58991523383,108.414387146672,0,"natural"
"3","('A', 'i')","('en', 'en')",3.3455373771473,18768,18771,3.3454705319081,0.0103233586879213,0.0103233586571762,9383.35107107178,9383.35112696286,324.100863487777,0,"natural"
"4","('e', 'E')","('en', 'en')",0.932970484735144,18768,18771,0.932951843593768,0.0103226491098087,0.0103226491074175,9384.64113708379,9384.64114143155,90.3821795279086,0,"natural"
"5","('i', 'I')","('en', 'en')",0.783908248571535,19182,19182,0.783892922597448,0.0102110356774293,0.0102110356758305,9590.92318659743,9590.92318960089,76.7709968388708,0,"natural"
"6","('A', '{')","('en', 'en')",0.310467983116568,24,24,0.305378344049083,0.288820022727385,0.288815312378127,11.9879632895882,11.9883543211716,1.07549264176266,0.28877718431668,"synthetic"
"7","('A', 'E')","('en', 'en')",1.21794222686079,24,24,1.19797596084668,0.290896875920168,0.290824896013547,11.8173986312445,11.8232490280046,4.21907563521295,0.000140337957813344,"synthetic"
"8","('A', 'i')","('en', 'en')",3.87092708458638,24,24,3.80746926352758,0.310387409826783,0.30970531215272,10.3798674223357,10.4256391916041,13.4092847657961,3.35692417445173e-17,"synthetic"
"9","('i', 'I')","('en', 'en')",0.725400697548813,24,24,0.713508882834898,0.289465212977845,0.289439555023242,11.9345828007288,11.9366988249625,2.5128617280009,0.0160035437544838,"synthetic"
