"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.758302066810521,18227,18225,0.758286463780319,0.0104754099587611,0.010475409957061,9112.92809538074,9112.92809833861,72.3888680646602,0,"natural"
"2","('A', 'E')","('en', 'en')",0.720033432727824,18363,18360,0.720018726462986,0.0104366820636382,0.0104366820621335,9180.68513317035,9180.68513581754,68.9906968801312,0,"natural"
"3","('A', 'i')","('en', 'en')",3.05531587274215,18768,18771,3.05525482625025,0.010323230990028,0.0103232309643854,9383.58321575123,9383.58326236825,295.985463855897,0,"natural"
"4","('e', 'E')","('en', 'en')",0.811203835995495,18768,18771,0.811187627802804,0.0103226345095017,0.010322634507694,9384.66768432588,9384.66768761283,78.5857363104089,0,"natural"
"5","('i', 'I')","('en', 'en')",0.800901280464401,19182,19182,0.800885622264232,0.0102110374693977,0.0102110374677288,9590.91982031267,9590.91982344775,78.4351864938557,0,"natural"
"6","('A', '{')","('en', 'en')",1.30352889544829,24,24,1.2821595692934,0.29121868510311,0.291136323131991,11.7912955933409,11.7979680119909,4.51555655210116,4.3762703545487e-05,"synthetic"
"7","('A', 'E')","('en', 'en')",1.56498644756028,24,24,1.53933093202651,0.292334328944415,0.292216059534564,11.7014684103814,11.7109422621987,5.42127208066227,4.38554669740081e-06,"synthetic"
"8","('A', 'i')","('en', 'en')",4.8088647156067,24,24,4.73003086780987,0.321570014426031,0.320553438530149,9.67049956542768,9.73193322267135,16.6583960283121,6.08621399871387e-20,"synthetic"
"9","('i', 'I')","('en', 'en')",0.923425586417757,24,24,0.908287462050253,0.28995437083208,0.289912861240412,11.8943490868222,11.8977553856503,3.19884006536928,0.00251916363797339,"synthetic"
