"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0503844415713515,25704,25704,0.0503837064720449,0.00882093550931328,0.00882093550931011,12851.999682676,12851.9996826853,5.7119159458956,1.12326022080501e-08,"natural"
"2","('a:', 'a')","('jp', 'jp')",-0.976391071962174,8,12,-0.93513511117504,0.461842660828877,0.461397772603308,4.68826235479242,4.69730773127456,-2.21371780442258,0.0400954529883344,"synthetic"
"3","('a', 'a~')","('fr', 'fr')",0.540411815864778,168,168,0.539197407289801,0.109132651407463,0.109132544993563,83.9635102417678,83.9636739855706,4.95295610529776,1.17362373525952e-06,"synthetic"
"4","('u:', 'y:')","('de', 'de')",1.86303417764392,168,168,1.85884758398629,0.109390357388552,0.109389095653141,83.5683673497547,83.5702951795047,17.0749902826861,3.37145161999963e-44,"synthetic"
