"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.799534701374318,18227,18225,0.799518249930178,0.0104754145735218,0.0104754145716319,9112.92006630022,9112.9200695885,76.3249943942227,0,"natural"
"2","('A', 'E')","('en', 'en')",0.745913742061545,18363,18360,0.745898507206414,0.010436684759198,0.0104366847575832,9180.68039084399,9180.68039368489,71.4704344550007,0,"natural"
"3","('A', 'i')","('en', 'en')",3.10634237899501,18768,18771,3.10628031297213,0.0103232526028733,0.0103232525763671,9383.54392470063,9383.54397288734,300.928358581524,0,"natural"
"4","('e', 'E')","('en', 'en')",0.813394681676808,18768,18771,0.813378429710101,0.0103226347541836,0.0103226347523661,9384.66723942813,9384.66724273285,78.7979687122838,0,"natural"
"5","('i', 'I')","('en', 'en')",0.783709345688043,19182,19182,0.783694023602652,0.0102110356566819,0.0102110356550839,9590.92322557226,9590.92322857419,76.7515175532942,0,"natural"
"6","('A', '{')","('en', 'en')",1.29260208863337,24,24,1.27141189045905,0.29117640367165,0.291095405136645,11.7947202462135,11.801285021608,4.4777049829653,4.97682446035178e-05,"synthetic"
"7","('A', 'E')","('en', 'en')",1.56227175230142,24,24,1.53666073996861,0.292321724262375,0.292203859806054,11.7024775483029,11.7119201637141,5.41186810043143,3.9096638736145e-06,"synthetic"
"8","('A', 'i')","('en', 'en')",4.71658788683359,24,24,4.63926677393468,0.320381447585207,0.319399931348776,9.74238484950179,9.80235356247084,16.3387397167194,4.06291062902729e-19,"synthetic"
"9","('i', 'I')","('en', 'en')",0.978862478688566,24,24,0.962815552808425,0.290112184587262,0.290065566385803,11.88141215105,11.8852315259706,3.39087909342281,0.00145643705889166,"synthetic"
