"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.24939452978568,18227,18225,0.249389398175796,0.0104753731157015,0.0104753731155176,9112.99219786938,9112.99219818933,23.8076780883757,2.49368038754071e-124,"natural"
"2","('A', 'E')","('en', 'en')",0.265036709781659,18363,18360,0.265031296560732,0.0104366502189258,0.0104366502187219,9180.74115818176,9180.74115854043,25.3947809217799,4.78845700593233e-141,"natural"
"3","('A', 'i')","('en', 'en')",1.21779183279994,18768,18771,1.21776750080864,0.0103226912219679,0.010322691217894,9384.5645666067,9384.56457401416,117.973840584081,0,"natural"
"4","('e', 'E')","('en', 'en')",0.256425266041531,18768,18771,0.256420142557224,0.0103225937916374,0.0103225937914568,9384.74172082995,9384.7417211584,24.8411877124847,3.99032703406702e-135,"natural"
"5","('i', 'I')","('en', 'en')",0.294849494328881,19182,19182,0.294843729807691,0.010211000572496,0.0102110005722699,9590.98913298428,9590.98913340919,28.875687477856,2.13099957742489e-181,"natural"
"6","('A', '{')","('en', 'en')",9.38835640669223,24,24,9.23444892461531,0.399805981612617,0.396682255187971,6.2560674887652,6.35498387360978,32.5222205919114,1.64969352406817e-29,"synthetic"
"7","('A', 'E')","('en', 'en')",6.87509285670889,24,24,6.76238641643498,0.352652279199534,0.35075547191867,8.04093608237377,8.12813840605891,23.8160202691473,2.99543577808261e-25,"synthetic"
"8","('A', 'i')","('en', 'en')",6.75605373392365,24,24,6.645298754679,0.350649523869612,0.348807486723289,8.13305094947852,8.21917834379468,23.4036566516424,9.11857293747852e-23,"synthetic"
"9","('i', 'I')","('en', 'en')",6.66969940862262,24,24,6.56036007405503,0.349211525312268,0.347408966270072,8.20017012753928,8.28548535656941,23.1045164938929,1.9840276611949e-26,"synthetic"
