"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0425699373097924,25704,25704,0.0425693162225992,0.00882093547815344,0.00882093547815118,12851.9997734751,12851.9997734817,4.82601168440532,1.39693322580399e-06,"natural"
"2","('E', 'I')","('de', 'de')",0.0931065577736481,25866,25866,0.0931052078750244,0.00879326941083734,0.00879326941082666,12932.9989163962,12932.9989164276,10.5883895197626,3.58831645898422e-26,"natural"
"3","('i', 'I')","('de', 'de')",0.192837664212414,25866,25866,0.192834868369632,0.00879327062267101,0.00879327062262519,12932.9953517061,12932.9953518409,21.9301448961969,4.08867720007487e-106,"natural"
"4","('a:', 'a')","('jp', 'jp')",-0.56182955762081,8,12,-0.538090280538241,0.458232862767258,0.458084446533934,4.76241827487402,4.76550475680842,-1.23620282432625,0.234653723689593,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",0.361119896997227,168,168,0.360308391610717,0.109119531385302,0.109119483862327,83.9837022152293,83.9837753672664,3.3097185258889,0.00103597895886912,"synthetic"
"6","('E', 'I')","('nl', 'nl')",0.867150414113997,8,8,0.81985130061687,0.505840496728419,0.505223930511907,3.90816426571786,3.91770899331751,1.73430082822799,0.124942805194543,"synthetic"
"7","('u:', 'y:')","('de', 'de')",0.399730182391135,168,168,0.398831912318345,0.10912191598953,0.109121857762425,83.9800317206011,83.9801213436255,3.66358763673176,0.000289142327940796,"synthetic"
