"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",1.58083167386831,18227,18225,1.58079914624451,0.0104755481848365,0.0104755481774482,9112.68760467742,9112.68761753158,150.908705123863,0,"natural"
"2","('A', 'E')","('en', 'en')",1.42212814771851,18363,18360,1.42209910157673,0.0104367889216158,0.0104367889157462,9180.49713963483,9180.49714996099,136.262448643475,0,"natural"
"3","('A', 'i')","('en', 'en')",3.78070608978576,18768,18771,3.78063054969326,0.0103235718585775,0.0103235718193147,9382.96356285632,9382.96363422716,366.258728929389,0,"natural"
"4","('e', 'E')","('en', 'en')",0.925229804915772,18768,18771,0.925211318436423,0.0103226481209936,0.0103226481186419,9384.64293500912,9384.64293928504,89.6318915274725,0,"natural"
"5","('i', 'I')","('en', 'en')",1.00395083544892,19182,19182,1.00393120748287,0.0102110618545522,0.0102110618519298,9590.87401199501,9590.87401692121,98.3205707492914,0,"natural"
"6","('A', '{')","('en', 'en')",0.462594581031947,24,24,0.455011063310112,0.288996698586247,0.288986247551809,11.9733102758049,11.9741763083015,1.60247463530674,0.11990818033855,"synthetic"
"7","('A', 'E')","('en', 'en')",1.5165563041146,24,24,1.49169472535862,0.2921126694486,0.29200152378084,11.7192336492404,11.7281568214795,5.25350514253071,9.81075835739809e-06,"synthetic"
"8","('A', 'i')","('en', 'en')",3.61420708891868,24,24,3.55495779237902,0.307688645953344,0.307088880696158,10.5627514057535,10.6040512262298,12.5199806141655,3.65976536322186e-16,"synthetic"
"9","('i', 'I')","('en', 'en')",1.08428680522163,24,24,1.06651161169341,0.290437406415082,0.290380268848197,11.854818254731,11.8594840132868,3.75607967324081,0.000517287182044906,"synthetic"
