"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.982250321360954,18227,18225,0.98223011031037,0.0104754379627857,0.0104754379599332,9112.87937220133,9112.87937716423,93.7675137973697,0,"natural"
"2","('A', 'E')","('en', 'en')",0.811304607993446,18363,18360,0.811288037567842,0.0104366919940155,0.0104366919921052,9180.66766257253,9180.66766593335,77.7361792384492,0,"natural"
"3","('A', 'i')","('en', 'en')",4.99633594841917,18768,18771,4.99623611953251,0.010324305254904,0.0103243051863382,9381.63055566132,9381.63068027186,484.020721353573,0,"natural"
"4","('e', 'E')","('en', 'en')",0.670006054496017,18768,18771,0.669992667494189,0.0103226201318211,0.0103226201305879,9384.69382688407,9384.69382912637,64.9067879310482,0,"natural"
"5","('i', 'I')","('en', 'en')",0.774792736236963,19182,19182,0.774777588477745,0.0102110347320059,0.010211034730444,9590.92496261406,9590.92496554808,75.8782814351264,0,"natural"
"6","('A', '{')","('en', 'en')",0.844305879018608,24,24,0.830464799034697,0.289744937547667,0.289710211686759,11.9115502356271,11.9144059418482,2.92476135917866,0.00619875549398887,"synthetic"
"7","('A', 'E')","('en', 'en')",1.71574478527954,24,24,1.68761782158643,0.293067736304571,0.292925933221928,11.6429754153469,11.6542506848809,5.94351428185103,9.43233465649802e-07,"synthetic"
"8","('A', 'i')","('en', 'en')",6.19235348959143,24,24,6.09083949795879,0.341495436945955,0.339906959530195,8.57492223080745,8.65525537728036,21.4509417247976,3.97157245311817e-25,"synthetic"
"9","('i', 'I')","('en', 'en')",0.571215800917773,24,24,0.561851607460105,0.289165297023681,0.289149370923681,11.9593522184173,11.9606696764778,1.97874957855146,0.0540650044825046,"synthetic"
