"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",1.42309317124811,18227,18225,1.42306388929477,0.0104755141433903,0.0104755141374029,9112.74683032769,9112.74684074474,135.850626788308,0,"natural"
"2","('A', 'E')","('en', 'en')",1.34686719080044,18363,18360,1.34683968182001,0.0104367741152299,0.0104367741099651,9180.52318792885,9180.52319719103,129.051034516103,0,"natural"
"3","('A', 'i')","('en', 'en')",3.84471628645406,18768,18771,3.844639467411,0.0103236054104667,0.0103236053698634,9382.90257338025,9382.9026471873,372.460472297048,0,"natural"
"4","('e', 'E')","('en', 'en')",0.901868135606217,18768,18771,0.901850115902814,0.0103226451866616,0.0103226451844273,9384.64827039768,9384.6482744604,87.3687082639588,0,"natural"
"5","('i', 'I')","('en', 'en')",1.09384342725405,19182,19182,1.09382204182272,0.01021107440236,0.010211074399247,9590.8504406518,9590.85044649964,107.124080463452,0,"natural"
"6","('A', '{')","('en', 'en')",0.439363243455935,24,24,0.432160567333707,0.288965227717109,0.288955799009492,11.9759184166031,11.9766999844128,1.52199892128787,0.139171797763592,"synthetic"
"7","('A', 'E')","('en', 'en')",1.36535198038499,24,24,1.34296916103442,0.291464492474744,0.291374207789287,11.771415537476,11.7787116067648,4.72971800048318,4.00324744711858e-05,"synthetic"
"8","('A', 'i')","('en', 'en')",3.52652095285496,24,24,3.4687091339557,0.306804133069474,0.306231494701658,10.6237437876825,10.6635127297764,12.216226928602,1.24535716008085e-15,"synthetic"
"9","('i', 'I')","('en', 'en')",1.051290169205,24,24,1.03405590413606,0.290332082104596,0.290278350031983,11.8634210038873,11.8678133755272,3.64177597312147,0.000713410118281315,"synthetic"
