"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0692352076481592,25704,25704,0.0692341975198032,0.00882093560604201,0.00882093560603601,12851.9994008108,12851.9994008283,7.84896436775783,4.27561168009128e-15,"natural"
"2","('E', 'I')","('de', 'de')",0.305671456372197,25866,25866,0.305667024616926,0.00879327301292063,0.0087932730128055,12932.9883206306,12932.9883209693,34.761981567511,9.64570818437226e-262,"natural"
"3","('i', 'I')","('de', 'de')",0.362558749197164,25866,25866,0.362553492665634,0.00879327462829145,0.00879327462812948,12932.983568915,12932.9835693915,41.2313949961538,0,"natural"
"4","('a:', 'a')","('jp', 'jp')",-0.751707818394085,8,12,-0.71994551620842,0.459648102743163,0.459383200302707,4.73313679354108,4.73859707590706,-1.78780198928895,0.0939953474775522,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",1.30220248213969,168,168,1.29927618442702,0.109246521666285,0.109245904426615,83.7885671187178,83.7895139326768,11.9348828891291,3.14614054663332e-27,"synthetic"
"6","('E', 'I')","('nl', 'nl')",2.1841986973645,8,8,2.06506058659916,0.535976940600998,0.532274565150042,3.48103018519713,3.52962504492776,4.36839739472899,0.000929624936696198,"synthetic"
"7","('u:', 'y:')","('de', 'de')",1.74714611865415,168,168,1.74321994760099,0.109356474747961,0.109355364757256,83.6201604532917,83.6218580027833,16.0128586777619,1.06641221127993e-40,"synthetic"
