"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.079354141603057,25704,25704,0.0793529838414019,0.00882093567054003,0.00882093567053215,12851.9992128651,12851.999212888,8.99611413085671,2.41598283127044e-19,"natural"
"2","('a:', 'a')","('jp', 'jp')",-1.29831479932228,8,12,-1.24345642751993,0.465953442987575,0.4651734885096,4.60590472035144,4.62136307203482,-2.93521627659545,0.00893297593645814,"synthetic"
"3","('a', 'a~')","('fr', 'fr')",0.941105110041312,168,168,0.938990267097399,0.109180822843326,0.109180500266083,83.8894358671835,83.8899315759018,8.62537080734812,2.7454014488407e-16,"synthetic"
"4","('u:', 'y:')","('de', 'de')",1.61817612183714,168,168,1.61453977100156,0.109321313675547,0.109320361204438,83.6739586970759,83.675416748888,14.8308291321776,5.28445003800565e-38,"synthetic"
