"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.338682286732773,18227,18225,0.338675317913644,0.0104753768880662,0.0104753768877271,9112.98563437785,9112.98563496789,32.3312625968672,4.08502625227532e-226,"natural"
"2","('A', 'E')","('en', 'en')",0.34314223428296,18363,18360,0.343135225802041,0.0104366535939402,0.0104366535935985,9180.73522043007,9180.73522103129,32.8785698301954,1.10829401995742e-233,"natural"
"3","('A', 'i')","('en', 'en')",1.32986271860618,18768,18771,1.3298361473916,0.0103227108499024,0.0103227108450441,9384.52887841477,9384.52888724829,128.830681628947,0,"natural"
"4","('e', 'E')","('en', 'en')",0.24086999970524,18768,18771,0.240865187021676,0.0103225932598506,0.0103225932596912,9384.74268777339,9384.74268806319,23.3342797427535,1.41807625687036e-119,"natural"
"5","('i', 'I')","('en', 'en')",0.262645779252476,19182,19182,0.262640644337243,0.0102109993778723,0.0102109993776929,9590.99137715708,9590.99137749424,25.7218600843624,1.13099686322536e-144,"natural"
"6","('A', '{')","('en', 'en')",10.9316446985247,24,24,10.7524374083849,0.432512098231944,0.428594795180639,5.34568642729713,5.4438508080344,37.8683280562714,2.93790207594676e-36,"synthetic"
"7","('A', 'E')","('en', 'en')",7.48123833642145,24,24,7.3585950850047,0.363204448478256,0.361022998681947,7.58049702916377,7.67238277526041,25.915769804428,8.39800359590354e-28,"synthetic"
"8","('A', 'i')","('en', 'en')",9.5491705271698,24,24,9.39262674803587,0.403098521693907,0.399893038246634,6.15428478612875,6.25334389599157,33.0792970463948,1.27531823826896e-33,"synthetic"
"9","('i', 'I')","('en', 'en')",9.54829846803884,24,24,9.39176898495624,0.403080589322409,0.399875549940126,6.15483238568523,6.25389088010287,33.0762761449507,2.69000440959293e-33,"synthetic"
