"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0808429901102189,25704,25704,0.0808418106265506,0.00882093568077129,0.00882093568076311,12851.9991830514,12851.9991830753,9.16489991598917,5.13639767146701e-20,"natural"
"2","('E', 'I')","('de', 'de')",0.194925961519789,25866,25866,0.194923135399981,0.00879327065708147,0.00879327065703465,12932.9952504854,12932.9952506232,22.1676330587097,2.26038785324342e-108,"natural"
"3","('i', 'I')","('de', 'de')",0.320665218993256,25866,25866,0.320660569852012,0.00879327341199089,0.00879327341186419,12932.9871467399,12932.9871471126,36.467122459784,1.69644254556341e-287,"natural"
"4","('a:', 'a')","('jp', 'jp')",-1.079393380483,8,12,-1.03378520947668,0.463035107503057,0.462492746898829,4.66414623833691,4.67509184747825,-2.4213692268089,0.0266909707974982,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",0.82233507524174,168,168,0.820487131252433,0.109163829591319,0.109163583258351,83.9155556045714,83.9159343241158,7.53682545782496,4.67430756304378e-13,"synthetic"
"6","('E', 'I')","('nl', 'nl')",2.07337688495914,8,8,1.96028360032501,0.532527080495992,0.52917028061703,3.52627846141715,3.57115836370637,4.14675376991828,0.00374857039299308,"synthetic"
"7","('u:', 'y:')","('de', 'de')",1.45883219631562,168,168,1.45555392171716,0.109281579910725,0.109280805505211,83.7348159030356,83.7360026609969,13.37041793171,1.13132287712596e-32,"synthetic"
