"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0596179087506573,25704,25704,0.0596170389368415,0.0088209355528836,0.00882093555287915,12851.9995557131,12851.9995557261,6.75868329654079,1.40732762453067e-11,"natural"
"2","('E', 'I')","('de', 'de')",0.260143924871618,25866,25866,0.260140153193934,0.00879327191825928,0.00879327191817589,12932.9915406478,12932.9915408931,29.5844382351354,9.43716783588031e-191,"natural"
"3","('i', 'I')","('de', 'de')",0.45823201177361,25866,25866,0.458225368130274,0.00879327796527285,0.00879327796501412,12932.9737529812,12932.9737537423,52.1116787807687,0,"natural"
"4","('a:', 'a')","('jp', 'jp')",-1.64721518649368,8,12,-1.57761454481085,0.471662164311267,0.47042128532571,4.49508512969175,4.51883071049478,-3.82129209017415,0.00130243396594844,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",0.788492267613143,168,168,0.786720374876934,0.109159406082883,0.109159179598976,83.9223568267958,83.9227050720473,7.22665100244921,4.29282812641987e-12,"synthetic"
"6","('E', 'I')","('nl', 'nl')",0.905744808104423,8,8,0.856340545844181,0.506368610005104,0.505696604404947,3.90001653656092,3.91038866208048,1.81148961620885,0.0971823882122492,"synthetic"
"7","('u:', 'y:')","('de', 'de')",0.750238252998439,168,168,0.748552324340016,0.10915462958741,0.109154424537378,83.9297017013008,83.9300170307839,6.87604716723356,3.0550762565994e-11,"synthetic"
