"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",1.28938281925731,18227,18225,1.28935628856466,0.0104754880870507,0.0104754880821356,9112.79216379935,9112.79217235093,123.086538489712,0,"natural"
"2","('A', 'E')","('en', 'en')",1.21716857698643,18363,18360,1.21714371702489,0.0104367504877545,0.0104367504834548,9180.56475504902,9180.56476261333,116.624199646039,0,"natural"
"3","('A', 'i')","('en', 'en')",3.44814150010784,18768,18771,3.44807260479525,0.0103234066041254,0.0103234065714657,9383.26396542166,9383.26402479246,334.041433821185,0,"natural"
"4","('e', 'E')","('en', 'en')",0.946481706869048,18768,18771,0.94646279576779,0.0103226508555075,0.0103226508530466,9384.63796294648,9384.63796742108,91.6909986862475,0,"natural"
"5","('i', 'I')","('en', 'en')",0.789772051164424,19182,19182,0.789756610548749,0.0102110362914433,0.0102110362898205,9590.92203314721,9590.92203619577,77.3452604355899,0,"natural"
"6","('A', '{')","('en', 'en')",0.472213872020112,24,24,0.464472661003389,0.289010203138517,0.288999313443562,11.9721913504869,11.9730936084644,1.63579683675532,0.112667234994318,"synthetic"
"7","('A', 'E')","('en', 'en')",1.24692832367028,24,24,1.22648687574126,0.291003457651117,0.29092803803143,11.8087438327173,11.814867177961,4.31948641998723,0.000121388961856113,"synthetic"
"8","('A', 'i')","('en', 'en')",3.12291682246918,24,24,3.07172146472379,0.30298372922265,0.302529086005306,10.8933482177308,10.9261140475629,10.8181012086564,6.22956546897605e-14,"synthetic"
"9","('i', 'I')","('en', 'en')",0.833155598892314,24,24,0.819497310385882,0.289716918007615,0.289683100083045,11.9138543627079,11.9166361980697,2.88613565578393,0.00602433196202646,"synthetic"
