"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0827977330440789,25704,25704,0.0827965250410874,0.0088209356944929,0.00882093569448431,12851.999143067,12851.999143092,9.38650259701183,6.44648963545486e-21,"natural"
"2","('E', 'I')","('de', 'de')",0.2212815446921,25866,25866,0.221278336457795,0.00879327112321844,0.0087932711231581,12932.9938793126,12932.9938794901,25.1648782294243,6.68706611844674e-139,"natural"
"3","('i', 'I')","('de', 'de')",0.349088492141882,25866,25866,0.349083430907889,0.00879327422093792,0.00879327422078776,12932.984767171,12932.9847676127,39.6995122583191,0,"natural"
"4","('a:', 'a')","('jp', 'jp')",-1.82636889998911,8,12,-1.74919838308816,0.475085646658225,0.473570738860837,4.43053509142153,4.45892615063869,-4.3013871463924,0.000534549548454177,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",1.09339470968621,168,168,1.09093764292287,0.1092059563449,0.109205521021853,83.8508263862883,83.8514948922322,10.0211280432026,7.72533396345133e-21,"synthetic"
"6","('E', 'I')","('nl', 'nl')",1.72834846343178,8,8,1.63407491088096,0.522816802963815,0.520443026528621,3.65848202765515,3.69193131257967,3.45669692686357,0.00962216978960973,"synthetic"
"7","('u:', 'y:')","('de', 'de')",1.32318413528367,168,168,1.32021068778865,0.109250987863744,0.109250350599358,83.7817166793058,83.7826940905395,12.1271829166042,8.11323340607922e-28,"synthetic"
