"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0248372314637236,25704,25704,0.0248368690932962,0.00882093542687852,0.00882093542687775,12851.999922889,12851.9999228912,2.81571401855546,0.0048687489878988,"natural"
"2","('a:', 'a')","('jp', 'jp')",-1.4060861729437,8,12,-1.34667408112918,0.46757952936363,0.466667770166767,4.57392480987061,4.59181501866106,-3.11412411096789,0.00657121320717146,"synthetic"
"3","('a', 'a~')","('fr', 'fr')",0.096925394054485,168,168,0.0967075841802053,0.109109707784585,0.109109704360733,83.9988256999151,83.9988309716649,0.888335910036201,0.37500076652585,"synthetic"
"4","('u:', 'y:')","('de', 'de')",0.0937462923742901,168,168,0.0935356265487298,0.109109658575105,0.109109655372169,83.9989014684498,83.9989064000586,0.859198961853291,0.390847358538272,"synthetic"
