"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.760573802957607,18227,18225,0.760558153183542,0.0104754102066553,0.0104754102049451,9112.92766407691,9112.92766705254,72.6057474330933,0,"natural"
"2","('A', 'E')","('en', 'en')",0.721825696349525,18363,18360,0.721810953478743,0.0104366822472438,0.0104366822457316,9180.68481015097,9180.68481281135,69.1623704904646,0,"natural"
"3","('A', 'i')","('en', 'en')",2.77794992749115,18768,18771,2.77789442288712,0.0103231197691799,0.0103231197479815,9383.78541348386,9383.78545202281,269.116581953405,0,"natural"
"4","('e', 'E')","('en', 'en')",0.636399097929625,18768,18771,0.636386382408877,0.0103226171135948,0.0103226171124822,9384.69931485927,9384.69931688227,61.6513292112106,0,"natural"
"5","('i', 'I')","('en', 'en')",0.722490556866243,19182,19182,0.722476431652517,0.0102110295211824,0.0102110295198243,9590.9347513683,9590.93475391957,70.7561380536115,0,"natural"
"6","('A', '{')","('en', 'en')",2.28487782616223,24,24,2.24742081261859,0.296420583038754,0.296171901785281,11.381075009478,11.4001953122381,7.91504896800104,4.80586950828736e-10,"synthetic"
"7","('A', 'E')","('en', 'en')",2.18182220864171,24,24,2.14605463145086,0.295745802998835,0.295518539206775,11.4330688723271,11.450660470424,7.55805383689918,1.41283960250838e-09,"synthetic"
"8","('A', 'i')","('en', 'en')",5.84618009613806,24,24,5.75034107816858,0.336157078389124,0.334719024108376,8.84943368086912,8.92563671905975,20.251761913418,9.36225532074993e-24,"synthetic"
"9","('i', 'I')","('en', 'en')",2.40377182229641,24,24,2.36436572684893,0.297235700428272,0.296961208667704,11.3187393480721,11.3396736419091,8.32690985203961,1.13004437271247e-10,"synthetic"
