"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.0554339405606313,25704,25704,0.0554331317901062,0.00882093553223427,0.00882093553223043,12851.9996158848,12851.999615896,6.2843607899018,3.31837204423323e-10,"natural"
"2","('a:', 'a')","('jp', 'jp')",-0.341104599314503,8,12,-0.326691728920933,0.457098824264658,0.457043986564667,4.78607821409104,4.78722678304382,-0.827644724028209,0.423658482563457,"synthetic"
"3","('a', 'a~')","('fr', 'fr')",0.699071437658589,168,168,0.697500490607671,0.109148611744594,0.109148433700145,83.9389567833,83.9392306283204,6.40709555850417,5.26900967508631e-10,"synthetic"
"4","('u:', 'y:')","('de', 'de')",2.06944237886329,168,168,2.06479194655124,0.109456063396837,0.109454507527495,83.468065994636,83.4704389682277,18.966752694981,1.68893387185039e-51,"synthetic"
