"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.439605195886866,18227,18225,0.439596150450425,0.0104753825311605,0.0104753825305892,9112.97581603974,9112.97581703383,41.9655103144172,0,"natural"
"2","('A', 'E')","('en', 'en')",0.430027016110238,18363,18360,0.430018233058092,0.0104366583668213,0.0104366583662846,9180.72682338453,9180.72682432875,41.2034611454655,0,"natural"
"3","('A', 'i')","('en', 'en')",1.82275287841908,18768,18771,1.82271645905249,0.0103228176716706,0.0103228176625437,9384.33465493564,9384.33467152988,176.580211650539,0,"natural"
"4","('e', 'E')","('en', 'en')",0.275151554900945,18768,18771,0.275146057257538,0.0103225944759641,0.0103225944757562,9384.74047652467,9384.74047690284,26.6553252317122,4.35685171661606e-155,"natural"
"5","('i', 'I')","('en', 'en')",0.591542075109302,19182,19182,0.591530510033248,0.0102110180716022,0.0102110180706918,9590.95625994615,9590.95626165643,57.9318751410372,0,"natural"
"6","('A', '{')","('en', 'en')",5.3331276187003,24,24,5.24569929708226,0.328668201427578,0.327444547250054,9.2573060851369,9.3266241247141,18.4744959976755,6.85090297271241e-23,"synthetic"
"7","('A', 'E')","('en', 'en')",5.40939395208137,24,24,5.32071536270299,0.329748355927392,0.328493525815229,9.1967572254373,9.26715380149461,18.7386903263215,1.40948210338247e-22,"synthetic"
"8","('A', 'i')","('en', 'en')",7.74582662121876,24,24,7.61884585693649,0.367987476724447,0.365679082172715,7.3847181057611,7.47824627857917,26.8323305091409,9.77507135053597e-30,"synthetic"
"9","('i', 'I')","('en', 'en')",9.53248715952213,24,24,9.37621687821849,0.402755603199236,0.399558613837608,6.16476914187827,6.26381618188478,33.0215041655805,1.48814185409051e-31,"synthetic"
