"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('a', 'a:')","('de', 'de')",0.13157562685099,25704,25704,0.131573707187915,0.00882093614305004,0.00882093614302837,12851.9978359822,12851.9978360453,14.916289585885,3.29102736487378e-50,"natural"
"2","('E', 'I')","('de', 'de')",0.284300176332774,25866,25866,0.284296054427444,0.00879327247713312,0.00879327247703353,12932.9898966841,12932.9898969771,32.3315680391377,4.66339575341112e-227,"natural"
"3","('i', 'I')","('de', 'de')",0.384688164224724,25866,25866,0.384682586851488,0.00879327533098323,0.00879327533080088,12932.9815019035,12932.9815024399,43.7480261740128,0,"natural"
"4","('a:', 'a')","('jp', 'jp')",-0.89291948742358,8,12,-0.855190494997232,0.460961999128706,0.460589244331003,4.70619319111631,4.71381371622447,-2.01772809041807,0.0589983201227306,"synthetic"
"5","('a', 'a~')","('fr', 'fr')",0.645226305746603,168,168,0.643776358992116,0.109142737435011,0.109142585753455,83.9479925963881,83.9482259309911,5.91359677292106,8.27931524339226e-09,"synthetic"
"6","('E', 'I')","('nl', 'nl')",2.0845968155667,8,8,1.97089153471761,0.532869178682363,0.529478025996045,3.52175222388711,3.56700828364483,4.1691936311334,0.000968375901070742,"synthetic"
"7","('u:', 'y:')","('de', 'de')",1.67867331292542,168,168,1.67490101334582,0.109337472837422,0.109336447967942,83.6492279054508,83.650796091433,15.3852950471661,2.99910409687281e-38,"synthetic"
