"","contrast","language","d","n1","n2","g","se_d","se_g","w_d","w_g","t","p_value","corpus"
"1","('A', '{')","('en', 'en')",0.74850603468382,18227,18225,0.748490633219448,0.0104754088983008,0.0104754088966444,9112.92994044457,9112.92994332652,71.4536968712407,0,"natural"
"2","('A', 'E')","('en', 'en')",0.706421164411862,18363,18360,0.706406736169702,0.0104366806840492,0.0104366806826009,9180.68756029705,9180.6875628451,67.6863888525297,0,"natural"
"3","('A', 'i')","('en', 'en')",3.03660897361741,18768,18771,3.03654830089721,0.0103232231561741,0.0103232231308446,9383.59745735897,9383.59750340703,294.173261758836,0,"natural"
"4","('e', 'E')","('en', 'en')",0.78299034072545,18768,18771,0.782974696250222,0.0103226314174821,0.010322631415798,9384.67330645439,9384.67330951668,75.852553975647,0,"natural"
"5","('i', 'I')","('en', 'en')",0.785407495111062,19182,19182,0.785392139825619,0.0102110358339839,0.0102110358323789,9590.92289250324,9590.92289551821,76.9178235262496,0,"natural"
"6","('A', '{')","('en', 'en')",1.36140195590955,24,24,1.33908389105858,0.291448453021646,0.291358685114666,11.7727112195139,11.7799667056348,4.71603471431798,2.27025899909311e-05,"synthetic"
"7","('A', 'E')","('en', 'en')",1.59933257048246,24,24,1.57311400375324,0.292495644363056,0.292372193808686,11.6885649242246,11.6984377129935,5.5402505405507,3.23870941203848e-06,"synthetic"
"8","('A', 'i')","('en', 'en')",4.80135665399203,24,24,4.72264588917248,0.321472612178599,0.320458905151775,9.67636053804015,9.73767578876568,16.6323873399462,1.88248445758086e-19,"synthetic"
"9","('i', 'I')","('en', 'en')",0.926951764492559,24,24,0.911755833927107,0.289964137470193,0.289922311643658,11.8935478439669,11.8969797519784,3.21105510453346,0.00244371198412235,"synthetic"
